Phenotype1,Phenotype2,Phenotype3,Phenotype4,Phenotype5,Phenotype6
-1.576080015,-0.559917036,-0.965848946,-1.177914786,-0.736601539,-0.888486001
0.541107244,1.368808019,-0.017105547,0.700226587,2.02594768,1.914247138
-0.511454909,-0.291029935,-0.038452817,-0.706788092,-0.015496496,0.328158313
-0.507270625,0.217364516,0.495251621,0.353496982,-0.751433584,1.090385758
0.691816481,0.758419417,0.801487947,0.935567107,0.59411213,1.11290435
-0.021111343,-0.642423908,0.184634988,0.469414378,0.109550601,0.075858419
0.97670879,0.070992354,-0.670355352,0.626304447,0.34000639,-1.25376508
-0.058608697,-0.502744447,0.602678019,-0.921902439,-0.431856695,-0.246692748
-0.132286308,-0.282121296,-0.911602553,-1.001863039,0.919689888,-1.235131063
0.471245724,-0.036867208,1.659181751,1.539574946,-0.130850348,1.011924278
1.216268995,0.103086174,0.084555556,-0.361705605,0.894614217,0.379059261
1.25214051,1.297861132,1.177684326,0.822880093,1.76121009,1.779930455
0.385585714,-0.342812125,0.285707047,-0.625109546,-0.118501439,-0.500354205
0.605664715,-0.545869165,0.130752367,-0.398141763,0.716970741,0.301186539
-1.261001461,-1.407272561,-0.554327833,-1.526063521,-1.062346433,-0.574629308
-1.215628956,-1.401500505,-1.065973708,-1.665355748,-1.23392899,-0.84241913
-0.051189809,0.164391254,-1.177715951,-0.228710092,0.853969149,0.216670097
-0.142016612,0.317463651,-0.324950359,0.286065122,0.191993832,0.07352915
0.621398002,0.813510486,0.997626841,-0.641209067,-0.254755452,0.83818597
1.049738278,0.450196557,-0.786338098,-0.347124002,1.478347298,1.004145905
0.748303,1.965795923,-0.038917296,0.973320306,0.345362122,0.712564091
-0.756973601,-0.459728664,0.24806197,0.08136651,-1.441847111,-1.275168351
0.306728742,0.431662069,1.83668652,1.467395429,0.69096254,0.528172794
-1.681355369,-0.66195385,-2.73702097,-1.638939405,-1.24758865,-2.038852845
1.182357113,0.929494963,1.648009527,1.41756069,1.754016912,1.427575576
-0.169008112,0.669536003,0.575959924,0.647197612,1.221685633,1.650673651
0.654686278,-1.557092563,-0.372487042,-0.52688436,0.976691954,-0.566377668
-0.128321794,0.225006227,-0.325726273,-1.210074632,0.536826881,-0.801418292
-0.281743702,1.094295247,0.209510325,-0.92266858,0.17897026,-1.258722182
-1.141520679,-0.388585497,-0.978961863,-0.554986235,0.234286016,-2.279735907
0.369944412,-0.468490927,-0.570789382,-0.416198978,-1.95615499,0.253365708
-0.208721563,0.130279823,-0.292680555,-0.53150632,1.196177315,-0.354293056
0.169489451,0.695546282,0.212127378,0.421743932,-0.05341065,0.308823461
-0.115843941,-0.560927026,-0.946258383,-0.019848139,-0.035632834,-0.337814265
0.50286987,-0.968496936,0.580749955,-0.4031947,0.218139337,-0.436003305
1.784344462,-0.453959347,0.867688507,-0.148170949,1.323759631,-0.374320123
0.275401912,0.867128159,0.104823447,0.180460222,-0.444589991,0.001299677
-0.344695639,0.196367926,1.136735877,-0.650496648,0.243430472,0.73596393
-0.548526395,-0.119791178,-0.372824249,-0.335862175,-0.436007416,-0.027601485
-0.750603819,-0.374424455,0.425886379,0.385890791,-0.865542952,-0.176400122
-0.406247108,-1.164854274,-1.099736605,-1.832121012,0.578188905,-0.466679778
-0.925645188,-1.712643883,-1.424611838,-0.80472643,-0.349269171,-1.276890993
-1.012308337,0.343444653,-0.396981303,0.047124203,-0.375287769,0.45878617
0.153984044,1.414633489,0.986013533,0.604630257,-0.363067711,1.213572176
